,Archetype,arrival_time,departure_time,time_in_park,max_wait,attractions_experienced,fastpass_used,total_wait_time,average_wait_time
0,Tourist,1,327,326,100,14,1,147,10.5
1,Tourist,1,390,389,95,7,1,198,28.285714285714285
2,Tourist,1,305,304,82,3,1,23,7.666666666666667
3,Tourist,1,449,448,119,7,0,251,35.857142857142854
4,Tourist,1,583,582,83,5,1,108,21.6
5,Tourist,1,321,320,56,12,1,85,7.083333333333333
6,Tourist,1,446,445,90,8,0,236,29.5
7,Tourist,1,559,558,39,8,1,53,6.625
8,Tourist,1,468,467,91,15,1,182,12.133333333333333
9,Tourist,1,310,309,81,10,0,132,13.2
10,Tourist,1,429,428,71,10,1,79,7.9
11,Tourist,1,302,301,44,7,1,91,13.0
12,Tourist,2,480,478,119,6,0,26,4.333333333333333
13,Tourist,2,471,469,68,13,1,97,7.461538461538462
14,Tourist,2,581,579,34,8,0,74,9.25
15,Tourist,2,468,466,113,9,0,244,27.11111111111111
16,Tourist,2,469,467,117,8,0,211,26.375
17,Tourist,2,489,487,63,4,1,1,0.25
18,Tourist,2,534,532,65,14,1,149,10.642857142857142
19,Tourist,2,456,454,108,9,1,156,17.333333333333332
20,Tourist,2,356,354,70,4,1,84,21.0
21,Tourist,2,492,490,77,12,1,118,9.833333333333334
22,Tourist,2,353,351,100,10,1,68,6.8
23,Tourist,2,579,577,102,8,1,421,52.625
24,Tourist,2,366,364,32,10,1,46,4.6
25,Tourist,2,590,588,40,8,1,51,6.375
26,Tourist,2,420,418,98,11,0,245,22.272727272727273
27,Tourist,2,529,527,119,16,1,356,22.25
28,Tourist,3,538,535,78,14,1,288,20.571428571428573
29,Tourist,3,517,514,78,8,1,146,18.25
30,Tourist,3,464,461,37,5,0,17,3.4
31,Tourist,3,352,349,95,13,0,171,13.153846153846153
32,Tourist,3,602,599,74,13,2,338,26.0
33,Tourist,3,477,474,45,11,1,192,17.454545454545453
34,Tourist,3,499,496,37,9,0,42,4.666666666666667
35,Tourist,3,326,323,113,7,0,128,18.285714285714285
36,Tourist,3,423,420,82,14,1,206,14.714285714285714
37,Tourist,3,455,452,82,8,1,204,25.5
38,Tourist,3,624,621,100,14,1,219,15.642857142857142
39,Tourist,3,591,588,99,19,1,252,13.263157894736842
40,Tourist,3,406,403,93,10,1,178,17.8
41,Tourist,4,508,504,36,9,1,39,4.333333333333333
42,Tourist,4,552,548,86,15,1,177,11.8
43,Tourist,4,520,516,92,15,1,190,12.666666666666666
44,Tourist,4,533,529,74,12,1,175,14.583333333333334
45,Tourist,4,380,376,108,9,0,172,19.11111111111111
46,Tourist,4,395,391,118,5,0,217,43.4
47,Tourist,4,458,454,32,11,1,64,5.818181818181818
48,Tourist,4,359,355,102,13,0,161,12.384615384615385
49,Tourist,4,455,451,107,7,1,173,24.714285714285715
50,Tourist,4,355,351,32,10,1,43,4.3
51,Tourist,4,594,590,102,16,1,196,12.25
52,Tourist,4,586,582,106,12,2,217,18.083333333333332
53,Tourist,4,400,396,42,4,0,88,22.0
54,Tourist,4,430,426,52,4,1,85,21.25
55,Tourist,4,583,579,61,12,1,93,7.75
56,Tourist,4,546,542,78,17,0,347,20.41176470588235
57,Tourist,5,476,471,92,17,0,129,7.588235294117647
58,Tourist,5,465,460,94,10,1,147,14.7
59,Tourist,5,592,587,61,6,1,80,13.333333333333334
60,Tourist,5,399,394,111,5,0,107,21.4
61,Tourist,5,397,392,64,6,0,145,24.166666666666668
62,Tourist,5,654,649,83,18,1,386,21.444444444444443
63,Tourist,5,386,381,51,5,0,76,15.2
64,Tourist,5,416,411,117,9,1,169,18.77777777777778
65,Tourist,5,522,517,59,17,1,120,7.0588235294117645
66,Tourist,5,528,523,36,5,1,51,10.2
67,Tourist,5,603,598,79,13,0,284,21.846153846153847
68,Tourist,5,444,439,97,13,1,191,14.692307692307692
69,Tourist,5,548,543,65,9,1,224,24.88888888888889
70,Tourist,5,591,586,108,15,0,391,26.066666666666666
71,Tourist,5,628,623,104,11,0,354,32.18181818181818
72,Tourist,5,458,453,84,9,1,125,13.88888888888889
73,Tourist,5,354,349,58,14,0,199,14.214285714285714
74,Tourist,5,473,468,117,11,1,271,24.636363636363637
75,Tourist,5,404,399,47,12,0,114,9.5
76,Tourist,5,419,414,85,16,1,209,13.0625
77,Tourist,5,538,533,111,11,1,178,16.181818181818183
78,Tourist,5,541,536,30,7,1,34,4.857142857142857
79,Tourist,6,500,494,32,5,1,38,7.6
80,Tourist,6,332,326,118,9,1,143,15.88888888888889
81,Tourist,6,571,565,118,12,2,164,13.666666666666666
82,Tourist,6,313,307,32,2,0,0,0.0
83,Tourist,6,403,397,113,8,1,190,23.75
84,Tourist,6,583,577,105,10,1,182,18.2
85,Tourist,6,368,362,43,6,0,87,14.5
86,Tourist,6,385,379,48,1,0,53,53.0
87,Tourist,6,450,444,82,15,1,280,18.666666666666668
88,Tourist,6,590,584,111,8,2,238,29.75
89,Tourist,6,434,428,32,6,0,44,7.333333333333333
90,Tourist,6,530,524,92,7,1,91,13.0
91,Tourist,6,451,445,33,7,1,42,6.0
92,Tourist,6,438,432,61,4,0,89,22.25
93,Tourist,6,466,460,111,10,1,194,19.4
94,Tourist,6,485,479,116,6,1,193,32.166666666666664
95,Tourist,7,519,512,60,8,1,62,7.75
96,Tourist,7,373,366,112,11,1,251,22.818181818181817
